model_family,model_name,vision_params,text_params,text_embedding_params,text_transformer_params,total_params
openai,ViT-B/16,86192640,63428096,25296896,38131200,149620737
openai,ViT-B/32,87849216,63428096,25296896,38131200,151277313
openai,ViT-L/14,303966208,123650304,37945344,85704960,427616513
openclip,ViT-B/16,86192640,63428096,25296896,38131200,149620737
openclip,ViT-B/32,87849216,63428096,25296896,38131200,151277313
openclip,ViT-L/14,303966208,123650304,37945344,85704960,427616513
openclip,ViT-H/14,632076800,354032640,50593792,303438848,986109441
openclip,ViT-g/14,1012645632,354032640,50593792,303438848,1366678273
openclip,ViT-G/14,1844907264,694659840,63242240,631417600,2539567105
metaclip,ViT-B/16,86192640,63428096,25296896,38131200,149620737
metaclip,ViT-B/32,87849216,63428096,25296896,38131200,151277313
metaclip,ViT-L/14,303966208,123650304,37945344,85704960,427616513
metaclip,ViT-H/14,632076800,354032640,50593792,303438848,986109441
metaclip,ViT-g/14,1012645632,354032640,50593792,303438848,1366678273
metaclip,ViT-G/14,1844907264,694659840,63242240,631417600,2539567105
metaclip2,ViT-B/16,86192640,499765248,461634048,38131200,585957889
metaclip2,ViT-B/32,87849216,499765248,461634048,38131200,587614465
metaclip2,ViT-L/14,303966208,778156032,692451072,85704960,1082122241
laclip,ViT-S/16,21862656,63428096,25296896,38131200,85290753
laclip,ViT-B/16,86192640,63428096,25296896,38131200,149620737
laclip,ViT-B/32,87849216,63428096,25296896,38131200,151277313
laclip,ViT-L/16,303826944,63428096,25296896,38131200,367255041
siglip,ViT-B/16,92884224,110271744,24576000,85695744,203155970
siglip,ViT-L/16,315956224,336194560,32768000,303426560,652150786
siglip,SO400M/14,428225600,449734896,36864000,412870896,877960498
siglip2,g-opt/16 (giant),1163659776,708225648,294912000,413313648,1871885426
eva,EVA02-B/16,86263040,63428096,25296896,38131200,149691137
eva,EVA02-L/14,304105152,123650304,37945344,85704960,427755457
eva,EVA01-g/14,1012588928,123846912,37945344,85901568,1136435841
eva,EVA01-g/14+,1012588928,354032640,50593792,303438848,1366621569
eva,EVA02-E/14,4350556928,354032640,50593792,303438848,4704589569
eva,EVA02-E/14+,4350556928,694332160,63242240,631089920,5044889089
mobileclip,S0,11457266,42449416,25296896,17152520,53906683
mobileclip,S1,21541632,63428096,25296896,38131200,84969729
mobileclip,S2,35815232,63428096,25296896,38131200,99243329
mobileclip,B/B-LT,86349056,63428096,25296896,38131200,149777153
mobileclip,S3,125234880,123650304,37945344,85704960,248885185
mobileclip,L-14,303966208,123650304,37945344,85704960,427616513
mobileclip,S4,321784064,123650304,37945344,85704960,445434369
tinyclip,ViT-8M/16,8276992,15169024,12648448,2520576,23446017
tinyclip,ViT-22M/32,22023511,35037875,25148672,9889203,57061387
tinyclip,ResNet-19M,18596766,44775936,25296896,19479040,63372703
tinyclip,ViT-39M/16,38587392,44513792,25296896,19216896,83101185
tinyclip,ResNet-30M,29583780,54233088,25296896,28936192,83816869
tinyclip,ViT-40M/32,39691776,44513792,25296896,19216896,84205569
tinyclip,ViT-45M/32,45309875,43326891,25198080,18128811,88636767
tinyclip,ViT-61M/32,61411200,53970944,25296896,28674048,115382145
tinyclip,ViT-63M/32,63406683,56516755,25247488,31269267,119923439
