architecture,vision_params,text_params,total_params,text_vision_ratio,vision_layers,vision_width,vision_heads,text_layers,text_width,text_heads,text_params_relative_to_base
ViT-Atto-16--Femto,9856512,3249920,13106433,0.32972313126590824,12,256,4,1,64,1,0.05123786153063778
ViT-Tiny-16--Femto,50183680,3249920,53433601,0.06476049584247309,10,640,10,1,64,1,0.05123786153063778
ViT-Colossal-16--Femto,352392192,3249920,355642113,0.009222451784629779,22,1152,18,1,64,1,0.05123786153063778
ViT-Giant-16--Femto,194236672,3249920,197486593,0.01673175289988494,20,896,14,1,64,1,0.05123786153063778
ViT-B-16--Femto,86192640,3249920,89442561,0.03770530755294187,12,768,12,1,64,1,0.05123786153063778
ViT-Giant-16--Atto,194236672,6994688,201231361,0.03601116065250541,20,896,14,3,128,2,0.11027743919666137
ViT-Atto-16--Atto,9856512,6994688,16851201,0.7096514466780947,12,256,4,3,128,2,0.11027743919666137
ViT-Colossal-16--Atto,352392192,6994688,359386881,0.019849157157261873,22,1152,18,3,128,2,0.11027743919666137
ViT-Tiny-16--Atto,50183680,6994688,57178369,0.1393817272866398,10,640,10,3,128,2,0.11027743919666137
ViT-B-16--Atto,86192640,6994688,93187329,0.08115180136030176,12,768,12,3,128,2,0.11027743919666137
ViT-B-16--Pico,86192640,11379264,97571905,0.1320212955537735,12,768,12,4,192,3,0.1794041555338505
ViT-Colossal-16--Nano,352392192,17538304,369930497,0.04976927525113837,22,1152,18,6,256,4,0.2765068653487565
ViT-Atto-16--Nano,9856512,17538304,27394817,1.7793621110591658,12,256,4,6,256,4,0.2765068653487565
ViT-Giant-16--Nano,194236672,17538304,211774977,0.09029347455047006,20,896,14,6,256,4,0.2765068653487565
ViT-Tiny-16--Nano,50183680,17538304,67721985,0.3494822221088609,10,640,10,6,256,4,0.2765068653487565
ViT-B-16--Nano,86192640,17538304,103730945,0.20347797677388696,12,768,12,6,256,4,0.2765068653487565
ViT-B-16--Micro,86192640,25863360,112056001,0.30006459948320413,12,768,12,8,320,5,0.40775873202941487
ViT-Giant-16--Tiny,194236672,36944256,231180929,0.19020227035191378,20,896,14,10,384,6,0.5824588523041903
ViT-Colossal-16--Tiny,352392192,36944256,389336449,0.10483846361726426,22,1152,18,10,384,6,0.5824588523041903
ViT-Atto-16--Tiny,9856512,36944256,46800769,3.7482078853046596,12,256,4,10,384,6,0.5824588523041903
ViT-Tiny-16--Tiny,50183680,36944256,87127937,0.7361806866295975,10,640,10,10,384,6,0.5824588523041903
ViT-B-16--Tiny,86192640,36944256,123136897,0.42862425376459057,12,768,12,10,384,6,0.5824588523041903
ViT-B-16--Small,86192640,48956544,135149185,0.5679898422881583,12,768,12,11,448,7,0.7718431907525649
ViT-Colossal-16--Base,352392192,63428096,415820289,0.17999290971804505,22,1152,18,12,512,8,1.0
ViT-B-16--Base,86192640,63428096,149620737,0.7358876117496808,12,768,12,12,512,8,1.0
ViT-Tiny-16--Base,50183680,63428096,113611777,1.2639187879406213,10,640,10,12,512,8,1.0
ViT-Giant-16--Base,194236672,63428096,257664769,0.32655057022393796,20,896,14,12,512,8,1.0
ViT-B-16--W512H8L12,86192640,63428096,149620737,0.7358876117496808,12,768,12,12,512,8,1.0
ViT-Atto-16--Base,9856512,63428096,73284609,6.435146226170069,12,256,4,12,512,8,1.0
ViT-B-16--Large,86192640,80653824,166846465,0.9357391071905907,12,768,12,13,576,9,1.2715788284106777
ViT-B-16--XL,86192640,100928640,187121281,1.1709658736523212,12,768,12,14,640,10,1.5912292243487807
ViT-B-16--Huge,86192640,118590912,204783553,1.3758821170809943,12,768,12,14,704,11,1.869690554797672
ViT-B-16--Giant,86192640,144717312,230909953,1.6789984852534974,12,768,12,15,768,12,2.2815963449383694
ViT-Giant-16--Giant,194236672,144717312,338953985,0.7450565874604771,20,896,14,15,768,12,2.2815963449383694
ViT-Tiny-16--Giant,50183680,144717312,194900993,2.8837524868642554,10,640,10,15,768,12,2.2815963449383694
ViT-Atto-16--Giant,9856512,144717312,154573825,14.68240610877357,12,256,4,15,768,12,2.2815963449383694
ViT-Colossal-16--Giant,352392192,144717312,497109505,0.4106711649275135,22,1152,18,15,768,12,2.2815963449383694
ViT-B-16--Colossal,86192640,218417024,304609665,2.5340565505361012,12,768,12,18,896,14,3.4435374506590897
